"","pixelGroup","ecoregionGroup","speciesCode","age","B","mortality","aNPPAct","mAge","mBio"
"1",138,"1","A138",1,10,0,0,NA,NA
"2",138,"1","A138",11,104,6,22,3.56925018800101e-07,6.05345876257184
"3",138,"1","A138",21,355,21,54,2.42412485203228e-06,21.2380212467374
"4",138,"1","A138",31,748,43,87,9.77649682293553e-06,43.1977461842325
"5",138,"1","A138",41,1214,66,114,2.9961758383105e-05,66.1855036094385
"6",138,"1","A138",51,1692,87,134,7.82154938989019e-05,86.6440150877416
"7",138,"1","A138",61,2147,104,147,0.000185022397906184,103.625043754175
"8",138,"1","A138",71,2560,117,156,0.000410408191881793,117.317765366306
"9",138,"1","A138",81,2925,128,163,0.000870862138356093,128.227490562269
"10",138,"1","A138",91,3242,137,167,0.00179033786609351,136.89543323739
"11",138,"1","A138",101,3514,144,169,0.00359847568713285,143.847267350676
"12",138,"1","A138",111,3747,149,171,0.00710889374696215,149.419825203674
"13",138,"1","A138",121,3945,154,172,0.0138673919277589,153.951630535707
"14",138,"1","A138",131,4112,158,173,0.0267705932441008,157.602118051364
"15",138,"1","A138",141,4253,161,174,0.0512644179409641,160.55479618812
"16",138,"1","A138",151,4372,163,174,0.0975650796702098,162.956595800578
"17",138,"1","A138",161,4471,165,174,0.184712389068572,164.864959984637
"18",138,"1","A138",171,4554,167,174,0.348220258564971,166.328921999973
"19",138,"1","A138",181,4620,168,174,0.653973778212684,167.319814447292
"20",138,"1","A138",191,4673,169,174,1.22425457338088,167.766229497782
"21",138,"1","A138",201,4709,170,173,2.28376258305868,167.415392578697
"22",138,"1","A138",211,4726,170,171,4.24286277648369,165.808551105264
"23",138,"1","A138",221,4714,170,167,7.83756565756146,162.065696666201
"24",138,"1","A138",231,4656,169,160,14.3425081920392,154.591790825033
"25",138,"1","A138",241,4521,167,149,25.8221133968692,140.720501132956
"26",138,"1","A138",251,4265,162,129,45.2434959252503,116.543985253498
"27",138,"1","A138",261,3815,153,97,75.3999500175224,77.3280400625137
"28",138,"1","A138",271,3098,136,52,114.720932373823,21.4210693370406
"29",138,"1","A138",281,1989,142,6,141.71737730703,0
"30",138,"1","A138",291,739,104,1,103.90451183384,0
"31",138,"1","A138",301,111,32,1,32.4241650824232,0
